id,Q,A,,,,,,,,,,,,,,
112,Quelle est la mesure la plus importante que l'on puisse prendre pour éviter de devenir diabétique ?,"La mesure la plus importante que l'on puisse prendre pour éviter de devenir diabétique est d'avoir une **alimentation saine** et une **activité physique régulière** . Il faut aussi **surveiller son poids**. Ces mesures permettent de prévenir ou de retarder l'apparition du diabète de type 2, qui est le plus fréquent et le plus évitable.",,,,,,,,,,,,,,
113,Une personne diabétique vit-elle moins longtemps qu'une personne non diabétique ?,"En moyenne, une personne diabétique vit **10 ans de moins** qu’une personne non diabétique. Cependant, si le diabète est bien traité et contrôlé, il est possible de vivre aussi longtemps qu’un non-diabétique  .",,,,,,,,,,,,,,
114,"Les symptômes du diabète de type 2 peuvent-ils être minimisés, ou complètement guéris, en changeant uniquement de mode de vie ?","Les symptômes du diabète de type 2 peuvent être minimisés, mais pas complètement guéris, en changeant uniquement de mode de vie. Une alimentation saine, une activité physique régulière et un poids normal sont autant de moyens de prévenir ou de retarder l’apparition du diabète de type 2 . Cependant, avec le temps, ces mesures peuvent ne pas suffire à contrôler la glycémie, et les personnes atteintes de diabète de type 2 peuvent avoir besoin de médicaments par voie orale ou d’insuline.",,,,,,,,,,,,,,
115,Comment gérer les facteurs de risque génétiques du diabète de type 2 ?,"Les facteurs de risque génétiques du diabète de type 2 sont liés à la présence de certains gènes qui affectent la production ou l'action de l'insuline, l'hormone qui régule le taux de glucose dans le sang. Ces gènes sont hérités des parents et peuvent augmenter le risque de développer le diabète de type 2, surtout si d'autres facteurs environnementaux sont présents, comme le surpoids, la sédentarité, le tabagisme ou une alimentation déséquilibrée  .  Pour gérer les facteurs de risque génétiques du diabète de type 2, il est recommandé de faire un dépistage régulier du diabète chez les personnes ayant des antécédents familiaux de cette maladie , et d'adopter un mode de vie sain qui limite les autres facteurs de risque. Cela implique de maintenir un poids normal, de pratiquer une activité physique régulière, de manger équilibré et varié, et d'éviter le tabac et l'alcool  .",,,,,,,,,,,,,,
116,Quels sont les changements les plus importants à apporter au mode de vie d'un diabétique de type 2 ?,"Les changements les plus importants à apporter au mode de vie d'un diabétique de type 2 sont **une perte de poids si nécessaire, une activité physique régulière, et une alimentation équilibrée**. Ces mesures peuvent aider à contrôler la glycémie et à prévenir les complications du diabète .",,,,,,,,,,,,,,
117,"Ma mère a subi une insuffisance hépatique complète il n'y a pas très longtemps, et on lui a diagnostiqué un diabète de type II il y a environ 10 ans. L'insuffisance hépatique pourrait-elle avoir été causée par le diabète ?",L'insuffisance hépatique peut être causée par le diabète de type 2 dans certains cas. Le diabète de type 2 provoque une **insulinorésistance** qui affecte la fonction hépatique et peut entraîner une **stéatose hépatique**  ou une **cirrhose**    . ,,,,,,,,,,,,,,
118,Est-il possible que le diabète de type II soit en réalité un diabè te de type I qui n'a pas été diagnostiqué pendant des décennies ?,"Non, il n'est pas possible que le diabète de type II soit en réalité un diabète de type I qui n'a pas été diagnostiqué pendant des décennies. Le diabète de type I et le diabète de type II sont deux maladies différentes qui ont des causes et des mécanismes distincts.  Le diabète de type I est dû à une absence de sécrétion d'insuline par le pancréas, à cause d'une destruction auto-immune des cellules bêta qui produisent cette hormone. Le diabète de type I se manifeste généralement chez les personnes jeunes et nécessite un traitement par injections d'insuline à vie.  Le diabète de type II est dû à une mauvaise utilisation de l'insuline par les cellules de l'organisme, qui deviennent résistantes à son action. Le diabète de type II se développe très progressivement, de façon insidieuse sur de nombreuses années, et est souvent associé à l'obésité, au manque d'activité physique et à des facteurs génétiques. ",,,,,,,,,,,,,,
119,Peut-on guérir complètement le diabète de type II ?,"Il n'existe pas de traitement définitif pour guérir du diabète de type 2, mais il est possible d'obtenir une rémission complète et durable en modifiant ses habitudes de vie. Cependant, il faut agir rapidement, avant que le pancréas ne soit trop endommagé par l'hyperglycémie.",,,,,,,,,,,,,,
120,Est-ce que le fait d'être diabétique signifie que je suis plus exposé à d'autres problèmes médicaux ?,"Oui, le diabète peut entraîner des complications médicales s’il n'est pas bien contrôlé. Ces complications peuvent être aiguës, comme l'hypoglycémie, l'acidocétose ou l'état hyperosmolaire hyperglycémique, ou chroniques, comme les maladies cardiovasculaires, les accidents vasculaires cérébraux, les maladies rénales, les lésions nerveuses, les dommages oculaires, les problèmes de peau ou les troubles cognitifs . Le diabète est aussi une cause importante de cécité, d’insuffisance rénale, d’infarctus du myocarde, d’accidents vasculaires cérébraux et d’amputation des membres inférieurs.",,,,,,,,,,,,,,
121,À quelle fréquence dois-je mesurer ma glycémie et que dois-je faire si elle est trop élevée ou trop basse ?,"La fréquence de mesure de la glycémie dépend du type de diabète et du traitement. Elle est recommandée au moins quatre fois par jour pour les personnes diabétiques de type 1 et variable pour les personnes diabétiques de type 2. Les objectifs glycémiques sont fixés entre 70 et 120 mg/dl avant les repas et < 180 mg/dl après les repas.  Si la glycémie est trop basse , il faut manger ou boire des glucides à action rapide , attendre 10 à 15 minutes, revérifier la glycémie et répéter le traitement si nécessaire.  Si la glycémie est trop élevée , il faut essayer de trouver les causes  et discuter avec l'équipe de soins de la nécessité d'adapter le traitement.",,,,,,,,,,,,,,
122,Existe-t-il de nouveaux médicaments que je pourrais utiliser pour gérer mon diabète ?,"Il existe de nouveaux médicaments pour le diabète de type 2 qui peuvent stimuler la sécrétion d'insuline, réduire le poids et améliorer le contrôle de la glycémie. Par exemple, le **tirzépatide**, le **Lyxumia** ou le **PATAS**. Ces médicaments sont injectables en sous-cutané et peuvent être associés à d'autres traitements. Ils ne sont pas encore disponibles sur le marché ou sont en cours d'évaluation par les autorités sanitaires.",,,,,,,,,,,,,,
123,Le diabète entraîne-t-il toujours des complications au niveau des membres avec l'âge ?,Il augmente le risque d'artériopathie des membres inférieurs . Il s'agit d'une atteinte des gros vaisseaux sanguins qui peut provoquer une mauvaise irrigation des jambes et des pieds. Les complications du diabète au niveau des membres inférieurs peuvent être prévenues par un bon contrôle de la glycémie et des facteurs de risque cardiovasculaires .,,,,,,,,,,,,,,
124,Le diabète provoque-t-il directement ou augmente-t-il le risque d' autres maladies graves ?,"Le diabète peut provoquer directement ou augmenter le risque d'autres maladies graves, notamment des maladies cardiovasculaires, rénales, nerveuses et oculaires    . Le diabète endommage les vaisseaux sanguins et favorise le dépôt de graisses sur les parois des artères, ce qui peut entraîner des crises cardiaques, des accidents vasculaires cérébraux, des insuffisances rénales chroniques et des pertes de vision . Le diabète affecte également les petites artères qui nourrissent les reins, les nerfs des membres inférieurs et la rétine, ce qu'on appelle les complications microvasculaires .",,,,,,,,,,,,,,
125,Existe-t-il une prédisposition génétique au diabète ? Ou s'agit-il uniquement d'une question de régime alimentaire ?,"Il existe une **prédisposition génétique** au diabète de type 2, surtout si un parent proche est ou a été atteint de cette maladie. Mais le facteur génétique **ne suffit pas**. Le diabète de type 2 est aussi lié à l'évolution des modes de vie, notamment le **régime alimentaire** trop riche ou déséquilibré et le manque d'activité physique. Ces facteurs favorisent le surpoids et l'obésité, qui sont des risques importants pour le diabète de type 2. Avoir une alimentation saine et une activité physique régulière sont des moyens de prévenir ou de retarder l'apparition du diabète de type 2.",,,,,,,,,,,,,,
126,"Le diabète sera-t-il un jour ""guéri"" ?","Le diabète est une maladie chronique qui ne peut pas être guérie complètement, mais qui peut être contrôlée par des médicaments, des régimes alimentaires ou des chirurgies . Certains cas de diabète de type 2 peuvent être inversés par une perte de poids importante, mais cela ne signifie pas que la maladie a disparu. Il existe également un risque que la COVID-19 provoque du diabète chez certains patients infectés.",,,,,,,,,,,,,,
127,Existe-t-il des remèdes naturels contre le diabète qui se soient révélés prometteurs ? ,"Il existe des remèdes naturels contre le diabète qui se sont révélés prometteurs, tels que la **berbérine**, le **melon amer** , la **cannelle de Ceylan** , le **curcuma** , le **poivre noir**, le **gingembre**, le **ginseng américain**, l’**aloe vera** et les **feuilles de myrtille**. Ces plantes ont des propriétés qui aident à réguler la glycémie, à stimuler l’insuline ou à protéger les reins. Il est recommandé de suivre un régime alimentaire adapté et un suivi médical en cas de diabète.",,,,,,,,,,,,,,
128,"Le diabète est-il guérissable ? En d'autres termes, peut-on se débarrasser complètement du diabète sans qu'il n'y ait d'effets persistant s ? Ou s'agit-il d'une maladie avec laquelle il faut vivre ?","  Le diabète de type 1 n'est pas guérissable, mais il peut être traité par des injections d'insuline et un contrôle régulier de la glycémie. Le diabète de type 2 n'est pas non plus guérissable, mais il peut être soulagé par une bonne hygiène de vie et des médicaments qui aident à réduire le taux de sucre dans le sang. Cependant, il existe des cas rares où le diabète de type 2 peut disparaître complètement, notamment chez les personnes qui perdent beaucoup de poids ou qui subissent une chirurgie bariatrique . Ces cas sont appelés des rémissions du diabète et sont souvent temporaires.  En résumé, le diabète n'est pas guérissable dans la plupart des cas, mais il peut être contrôlé ou soulagé par des traitements adaptés. Il s'agit donc d'une maladie avec laquelle il faut vivre, mais qui n'empêche pas d'avoir une bonne qualité de vie si on suit les recommandations médicales.",,,,,,,,,,,,,,
129,Existe-t-il des moyens de savoir si l'on est prédisposé au diabète même si l'on ne sait pas si sa famille a des antécédents de diabète ?,"Le seul moyen de confirmer si vous avez le diabète est de consulter votre médecin en vue de réaliser des analyses sanguines. Votre médecin peut prescrire deux types d’analyse pour le diabète : la glycémie à jeun et l’hémoglobine glyquée. Ces analyses permettent de mesurer votre taux de sucre dans le sang et de détecter un éventuel prédiabète ou diabète.  Il existe aussi des symptômes qui peuvent vous alerter sur un risque de diabète, comme une soif excessive, une faim excessive, une vision floue, des urines fréquentes, de la fatigue ou des blessures qui ne guérissent pas. Si vous présentez un ou plusieurs de ces symptômes, il est conseillé de consulter votre médecin.  Enfin, il existe des facteurs de risque qui augmentent la probabilité de développer un diabète, comme l'âge, le surpoids, le manque d'activité physique, le tabagisme ou l'hypertension artérielle. Vous pouvez réduire votre risque en adoptant un mode de vie sain, en mangeant équilibré et en faisant du sport régulièrement.",,,,,,,,,,,,,,
130,Quels sont les meilleurs moyens de prévenir le diabète ?,"Les meilleurs moyens de prévenir le diabète sont :  - Avoir une **activité physique régulière**  pour abaisser la quantité de sucre dans le sang et améliorer l'action de l'insuline. - Perdre du **poids**  si on est en surpoids ou obèse, car l'excès de graisse peut nuire à la production ou à l'utilisation de l'insuline. - Diminuer l'**index et la charge glycémique** de son alimentation en évitant les aliments riches en sucres rapides comme les sucreries, les jus de fruits ou les produits raffinés. - Varier les **fruits et légumes**, surtout ceux qui ont un faible indice glycémique comme les pommes, les baies ou les aubergines . - Manger du **poisson**, qui contient des acides gras oméga-3 bénéfiques pour la santé cardiovasculaire et le contrôle de la glycémie. - Manger **lentement** et à heures régulières pour éviter les pics de glycémie et favoriser la satiété. - Faire contrôler régulièrement sa **glycémie** , surtout si on a des facteurs de risque comme l'âge, les antécédents familiaux ou certaines pathologies. - Arrêter le **tabac**, qui augmente le risque de complications du diabète comme les maladies cardiovasculaires ou rénales.",,,,,,,,,,,,,,
131,Existe-t-il des variations dans la gravité du diabète et qu'est-ce qui détermine la gravité ?,"Oui, il existe des variations dans la gravité du diabète selon le niveau de glycémie, le type de diabète, les complications associées et le risque cardiovasculaire. La gravité du diabète dépend de plusieurs facteurs, tels que l'âge, l’ancienneté le mode de vie, les antécédents familiaux, les traitements disponibles et le suivi médical  .",,,,,,,,,,,,,,
132,Le diabète est-il génétique et quelle est la probabilité qu'un enfant l'attrape si un de ses parents en est atteint ?,"La probabilité qu'un enfant développe le diabète si un de ses parents en est atteint dépend du type de diabète : elle est de **5%** pour le diabète de type 1  et de **40%** pour le diabète de type 2 . Si les deux parents sont diabétiques, le risque passe à **70%** pour le diabète de type 2.",,,,,,,,,,,,,,
133,Quelles sont les principales différences de gravité et de symptômes entre le diabète de type 1 et le diabète de type 2 ?,"Ils ont des causes, des symptômes et des traitements différents.  Le diabète de type 1 est dû à un défaut de sécrétion d'insuline par le pancréas, à cause d'une destruction des cellules qui la produisent par le système immunitaire. Il apparaît le plus souvent chez les enfants ou les jeunes adultes et se manifeste par des symptômes brutaux comme une soif intense, une augmentation du besoin d'uriner, une perte de poids, une fatigue ou une vision trouble. Le traitement repose sur des injections quotidiennes d'insuline pour réguler la glycémie .  Le diabète de type 2 est dû à une résistance à l'insuline, c'est-à-dire que l'insuline sécrétée par le pancréas n'est pas suffisamment efficace pour faire entrer le sucre dans les cellules. Il apparaît le plus souvent chez les personnes âgées, en surpoids ou ayant des antécédents familiaux de diabète. Il peut rester longtemps sans symptômes ou se révéler par des complications comme des infections, des troubles de la vue ou des problèmes cardiovasculaires. Le traitement repose sur des mesures hygiéno-diététiques  et des médicaments antidiabétiques oraux ou injectables  .  Le diabète de type 1 et le diabète de type 2 sont tous les deux des affections de longue durée  qui nécessitent un suivi médical régulier et une prise en charge à 100 % par l'Assurance Maladie.",,,,,,,,,,,,,,
134,Que puis-je faire pour éviter de contracter l'un ou l'autre type de diabète et quels sont les symptômes à surveiller ?,"Pour éviter de contracter le diabète de type 1 ou 2, il faut adopter un mode de vie sain, qui comprend une alimentation équilibrée, une activité physique régulière, une gestion du stress et l'arrêt du tabac. Il faut aussi surveiller son poids et faire contrôler régulièrement sa glycémie.  Les symptômes à surveiller sont : une soif intense, des mictions fréquentes, une fatigue inhabituelle, une perte de poids inexpliquée, des infections récurrentes, une vision floue et des plaies qui cicatrisent mal.",,,,,,,,,,,,,,
135,L'INSULINE POURRAIT-ELLE AFFECTER MA PEAU ?,"Oui, les injections d’insuline peuvent causer des problèmes cutanés comme des creux ou des bosses. D’où l’intérêt de changer d'aiguille à chaque injection et examiner régulièrement la peau.",,,,,,,,,,,,,,
136,Les injections d'insuline peuvent-elles CAUSER des ÉRUPTIONS CUTANÉES ?,"Oui, les injections d'insuline peuvent provoquer des éruptions cutanées dans certains cas. Il peut s'agir de réactions allergiques au médicament ou à l'aiguille, d'infections au site d'injection, de lipodystrophies, d'acné, d'hématomes ou de saignements. Ces complications sont plus rares avec les nouvelles générations d'insuline et les aiguilles plus courtes. Il est important de changer régulièrement le site d'injection et de consulter un médecin en cas de réaction cutanée persistante ou sévère.",,,,,,,,,,,,,,
137,Les injections d'insuline peuvent-elles CAUSER des ALLERGIES À DIVERS PRODUITS ?,"Les injections d'insuline peuvent provoquer des réactions allergiques locales ou générales chez certaines personnes. Ces réactions sont devenues rares depuis l'introduction de l'insuline humaine recombinante. Les symptômes peuvent inclure des rougeurs, des démangeaisons, des gonflements ou des nodules au site d'injection, ou des manifestations plus graves comme de l'urticaire, de l'asthme ou un choc anaphylactique. Les causes possibles d'une allergie à l'insuline sont une sensibilisation aux protéines de l'insuline, aux additifs ou aux impuretés présentes dans les préparations d'insuline. Les injections d'insuline ne causent pas directement des allergies à d'autres produits, mais elles peuvent être associées à d'autres types d'allergies chez les personnes diabétiques. Par exemple, certaines personnes peuvent être allergiques aux adhésifs utilisés pour fixer les cathéters ou les pompes à insuline. D'autres peuvent développer des allergies alimentaires, notamment au gluten, au lait ou aux œufs, qui peuvent affecter le contrôle glycémique et nécessiter un ajustement du traitement.",,,,,,,,,,,,,,
138,QU'EST-CE QUI PEUT AIDER MON DIABÈTE ?,"-Suivre les recommandations de votre médecin.-Prendre les médicaments prescrits par votre médecin, que ce soit l'insuline ou les antidiabétiques oraux. -Surveiller régulièrement votre glycémie.-Avoir une alimentation saine et équilibrée, en privilégiant les aliments à index glycémique bas.-Faire de l'activité physique régulière et adaptée à votre état de santé.- Consulter un nutritionniste ou un diététiste pour vous aider à élaborer un plan alimentaire personnalisé.",,,,,,,,,,,,,,
139,COMMENT GÉRER FACILEMENT LA GLYCÉMIE ?,"- Mesurer régulièrement votre glycémie.- Surveiller votre alimentation en diminuant les sucres rapides et les graisses saturées. - Consommer des glucides complexes et des fibres à chaque repas pour stabiliser la glycémie. - Privilégier les aliments à faible index glycémique, comme le pain de tradition ou les légumes secs. - Buvez beaucoup d'eau et faites de l'exercice régulièrement pour augmenter la sensibilité à l'insuline. ",,,,,,,,,,,,,,
140,Pourquoi ma glycémie augmente MALGRÉ un APPORT EN INSULINE Ade.,"Votre glycémie peut augmenter malgré un apport en insuline ade pour plusieurs raisons, comme : l’écart de régime, le stress, une infection, une prise médicamenteuse (ex : corticoïdes).En cas d'hyperglycémie sévère ou persistante, il faut consulter un médecin sans délai.",,,,,,,,,,,,,,
141,Pouquoi ma glycémie augmente MALGRÉ une ALIMENTATION équilibrée ?,"Votre glycémie peut augmenter malgré une alimentation équilibrée pour plusieurs raisons, comme : un manque d’insuline, le stress, une infection, certains médicaments (ex : corticoïdes). En cas de doute, consultez votre médecin.",,,,,,,,,,,,,,
142,"À L'AVENIR, EST-IL POSSIBLE D'ENVISAGER UN TRAITEMENT AUTRE QUE L'INJECTION, PAR EXEMPLE DES PATCHS D'INSULINE ?","Les patchs d'insuline sont des dispositifs qui délivrent de l'insuline à travers la peau, comme une injection. Il existe deux types de patchs d'insuline : les **pompes à patch** et les **patchs expérimentaux**. Les pompes à patch sont des systèmes approuvés par la FDA qui nécessitent une prescription médicale. Elles sont programmables et peuvent administrer des doses basales et bolus d'insuline rapide. Les patchs expérimentaux sont des projets de recherche qui visent à délivrer de l'insuline sans aiguille. Ils ne sont pas encore disponibles pour les humains. Il faudra attendre les résultats des essais cliniques et l'approbation des autorités sanitaires pour les patchs expérimentaux.",,,,,,,,,,,,,,
143,POURQUOI AI-JE DE PLUS EN PLUS DE MAL À CONTRÔLER MA GLYCÉMIE AVEC L'ÂGE ?,"La glycémie augmente avec l'âge à cause de plusieurs facteurs, notamment **le facteur familial**, **le stress et la dépression**, **la sédentarité** et **l'obésité** . Ces facteurs favorisent le développement du **diabète de type 2**, qui est le plus fréquent chez les personnes âgées. ",,,,,,,,,,,,,,
144,La prise d'autres MÉDICAMENTS a-t-elle un impact SUR LE CONTRÔLE DE MON DIABÈTE ?,"La prise d'autres médicaments peut avoir un impact sur le contrôle de votre diabète. Certains médicaments peuvent augmenter ou diminuer l'effet de l'insuline ou des antidiabétiques oraux. D'autres médicaments peuvent affecter le fonctionnement du foie et/ou l'endommager, ce qui peut perturber le métabolisme du glucose. Il est donc important de consulter votre médecin avant de prendre tout autre médicament, y compris les plantes médicinales, les drogues ou les compléments alimentaires.",,,,,,,,,,,,,,
145,PLUS D'INFORMATIONS SUR L'ALIMENTATION pour les personnes diabétiques?,"L'alimentation pour les diabétiques doit être **équilibrée**, **riche en fibres**, **antioxydants** et **acides gras oméga-3**. Il faut prendre **trois repas réguliers** par jour et éviter de sauter des repas. Parmi les aliments recommandés, on trouve les **lentilles**, les **grains entiers**, les **légumes verts feuillus**, les **haricots**, les **noix**, les **graines de lin**, le **saumon sauvage**, les **oranges**, les **myrtilles** et les **tomates**. Les œufs sont également bénéfiques pour les diabétiques. Il faut limiter la consommation d'aliments sucrés, salés et gras.",,,,,,,,,,,,,,
146,Quel est l'EFFET du diabète sur leS YEUX ?,"Le diabète peut affecter les yeux en provoquant des complications au niveau de la rétine, du vitré ou du nerf optique.",,,,,,,,,,,,,,
147,Y A-T-IL DE NOUVEAUX TRAITEMENTS DISPONIBLES pour le diabète?,"Il existe plusieurs nouveaux traitements pour le diabète, notamment :  - Le **tirzépatide**, un médicament injectable qui active deux récepteurs hormonaux pour stimuler la sécrétion d'insuline et réduire le poids. - La **chirurgie bariatrique**, une intervention qui réduit la taille de l'estomac et qui peut améliorer le contrôle de la glycémie et faire disparaître le diabète chez certaines personnes en surpoids. - Le **pancréas artificiel**, un dispositif qui associe un capteur de glycémie en continu et une pompe à insuline qui injecte automatiquement les doses d'insuline adéquates grâce à une intelligence artificielle. - Le **capteur Eversense**, un capteur de glycémie en continu implanté sous la peau qui envoie les données sur une application et alerte en cas d'hypo ou d'hyperglycémie. - Les **inhibiteurs du SGLT2**, des médicaments oraux qui abaissent la glycémie en facilitant l'élimination du glucose dans les urines.",,,,,,,,,,,,,,
148,LE MODE DE VIE OU LE RÉGIME ALIMENTAIRE EST-IL LE PRINCIPAL FACTEUR D'AIDE AU TRAITEMENT ?,"Oui, le mode de vie ou le régime alimentaire est un facteur principal et indispensable d'aide au traitement du diabète. Une alimentation saine et équilibrée,",,,,,,,,,,,,,,
149,Comment gérer les PROBLÈMES DE POIDS chez les personnes diabétique?,"Pour gérer les problèmes de poids chez les personnes diabétiques, il faut : -consulter son médecin et suivre son traitement.-adopter une alimentation équilibrée, variée et pauvre en sucres et en graisses. -pratiquer une activité physique régulier. ",,,,,,,,,,,,,,
150,POMPES À INSULINE c'est quoi l'intérêt ?,"Une pompe à insuline est un appareil qui permet aux personnes diabétiques de recevoir de l'insuline en continu et de façon plus précise qu'avec des injections multiples. L'intérêt de la pompe à insuline est qu'elle offre un meilleur contrôle de la glycémie, une plus grande liberté et une meilleure qualité de vie en évitant les injections multiples d’insuline. La pompe à insuline est recommandée lorsque le diabète est mal équilibré malgré un traitement par multi-injections.",,,,,,,,,,,,,,
151,LA SITUATION VA-T-ELLE S'AGGRAVER au cours du temps pour une personne diabétique?,"La situation peut s'aggraver au cours du temps pour une personne diabétique si sa glycémie n’est pas controlée. Le diabète peut entraîner des complications qui affectent presque tous les organes du corps, comme le cœur, les reins, les yeux et les vaisseaux. ",,,,,,,,,,,,,,
152,QU'EST-CE QU'UN HBA1C ACCEPTABLE ET CELA VARIE-T-IL D'UN PATIENT À L'AUTRE ?,"Le HBA1C est un test sanguin qui mesure le taux moyen de sucre dans le sang sur les 2 ou 3 derniers mois. Il est utilisé pour diagnostiquer et surveiller le diabète. Le HBA1C acceptable varie selon les personnes et les situations, mais en général, il est recommandé d'avoir un HBA1C inférieur à **7%** ou **53 mmol/mol** si vous avez le diabète , et inférieur à **6%** ou **42 mmol/mol** si vous êtes à risque de développer le diabète de type 2  . Votre médecin peut vous aider à déterminer votre objectif personnel de HBA1C en fonction de votre âge, de votre état de santé et de vos traitements.",,,,,,,,,,,,,,
153,LES MÉDICAMENTS PEUVENT-ILS REMPLACER LES INJECTIONS d'insuline ?,"Les médicaments ne peuvent pas remplacer les injections d'insuline pour les diabétiques de type 1, car leur pancréas ne produit pas assez d'insuline. Ils doivent donc s'injecter de l'insuline tous les jours pour contrôler leur glycémie. Pour les diabétiques de type 2, il existe des médicaments qu’on appelle les anti-diabétiques oraux.",,,,,,,,,,,,,,
154,MA FAMILLE ÉLARGIE DOIT-ELLE ÊTRE TESTÉE RÉGULIÈREMENT pour le diabète ?,"Non, sauf si un membre de la famille présente des signes en faveur du diabète.",,,,,,,,,,,,,,
155,Qu'est ce qu'une personne diabétique peut manger?,"une personne diabétique peut manger **une variété d’aliments provenant des différents groupes alimentaires**, en **limitant la consommation d’aliments sucrés et peu nutritifs**, et en **portant une attention particulière aux portions et à la répartition des aliments contenant des glucides**   . Il n’y a pas d’aliments strictement interdits, mais il faut respecter un équilibre alimentaire et un horaire de repas régulier.",,,,,,,,,,,,,,
156,"Est-il possible de RECEVOIR DE L'INSULINE PAR POMPE AU FUR ET À MESURE DES BESOINS, PLUTÔT QUE DE DEVOIR SE FAIRE DES INJECTIONS EN PERMANENCE ?","Oui, il est possible de recevoir de l'insuline par pompe au fur et à mesure des besoins, plutôt que de devoir se faire des injections en permanence. Il existe différents types de pompes à insuline qui permettent d'infuser de l'insuline à action rapide de manière continue et de délivrer des doses supplémentaires au moment des repas ou en cas d'hyperglycémie. La pompe à insuline peut offrir un meilleur contrôle glycémique, une plus grande liberté et une meilleure qualité de vie aux personnes diabétiques de type 1 ou 2. Cependant, la pompe à insuline nécessite une prescription médicale, un apprentissage, ainsi qu’une surveillance et une adaptation réguliers.",,,,,,,,,,,,,,
157,COMMENT D'AUTRES MÉDICAMENTS INTERAGISSENT AVEC LE DIABÈTE?,"Certains médicaments peuvent modifier l'action des médicaments antidiabétiques en augmentant ou en diminuant leur effet sur la glycémie. Cela peut entraîner des **hypoglycémies** ou des **hyperglycémies**. Il est donc important de signaler à votre médecin tous les médicaments que vous prenez, y compris ceux sans ordonnance.",,,,,,,,,,,,,,
158,Comment D'AUTRES MÉDICAMENTS INTERAGISSENT Avec les MÉDICAMENTS anti-DIABÉTIQUES ?,"Les médicaments antidiabétiques peuvent interagir avec d'autres médicaments et modifier leur effet sur l'organisme. Par exemple, certains médicaments peuvent augmenter ou diminuer le taux de sucre dans le sang, ce qui peut entraîner des hypoglycémies ou des hyperglycémies. Il est donc important de consulter votre médecin ou votre pharmacien avant de prendre d'autres médicaments avec vos antidiabétiques.",,,,,,,,,,,,,,
